time_instant,iteration,absolute_error_norm,relative_error_norm
0.01,1,0.00010590317889435559,0.0011524861964793299
0.01,2,9.26747349020144e-05,0.0010086874807562554
0.01,3,8.193883953219363e-05,0.000891962222562183
0.01,4,7.284113655899563e-05,0.0007930273378046935
0.01,5,6.508470430312974e-05,0.0007086621100672765
0.01,6,5.849246208415936e-05,0.0006369475226291408
0.01,7,5.292967915560851e-05,0.000576423522779918
0.01,8,4.8279745509833225e-05,0.0005258257158853232
0.01,9,4.443520451552559e-05,0.0004839880697890931
0.01,10,4.129433813085614e-05,0.0004498059981209279
0.01,11,3.876024768267489e-05,0.0004222265667955736
0.01,12,3.674133751023604e-05,0.00040025394041637866
0.01,13,3.5152504421540024e-05,0.0003829624862401813
0.01,14,3.391651697759435e-05,0.00036951192106441587
0.01,15,3.296513165621376e-05,0.00035915957035984806
0.01,16,3.2239658931119196e-05,0.0003512666156957221
0.01,17,3.169090092575668e-05,0.00034529747884481634
0.01,18,3.127855156719694e-05,0.00034081333517411343
0.01,19,3.097023720207893e-05,0.00033746169745950454
0.01,20,3.074037976625315e-05,0.00033496405638856405
0.01,21,3.056900298635539e-05,0.00033310289258794415
0.01,22,3.0440686428789318e-05,0.00033171029380380863
0.01,23,3.0343651493641974e-05,0.00033065800556298074
0.01,24,3.0268969258566626e-05,0.00032984880649560537
0.01,25,3.020991431725191e-05,0.00032920947232314675
0.01,26,3.0161449165287495e-05,0.0003286851608595767
0.01,27,3.0119819401687413e-05,0.00032823500349147546
0.01,28,3.0082239843874637e-05,0.00032782868660064755
0.01,29,3.0046653442213438e-05,0.00032744382577509426
0.01,30,3.001154748091757e-05,0.0003270639639205621
0.01,31,2.9975814286321944e-05,0.00032667705412778005
0.01,32,2.993864618783248e-05,0.00032627431562305
0.01,33,2.9899456651376722e-05,0.0003258493748017307
0.01,34,2.985782130090608e-05,0.00032539762289625097
0.01,35,2.981343398622197e-05,0.0003249157375409455
0.01,36,2.9766074192901283e-05,0.000324401327884256
0.01,37,2.9715582975225696e-05,0.0003238526725393447
0.01,38,2.9661845275304276e-05,0.0003232685270958612
0.01,39,2.9604777013888957e-05,0.00032264798360509366
0.01,40,2.954431573620141e-05,0.0003219903687843448
0.01,41,2.9480407826294202e-05,0.0003212951048022324
0.01,42,2.9412963924647464e-05,0.0003205612235024944
0.01,43,2.9341882687178835e-05,0.00031978762543495473
0.01,44,2.9267072922649005e-05,0.0003189733212118064
0.01,45,2.9188450521711533e-05,0.000318117398115391
0.01,46,2.910593672925854e-05,0.00031721900133666796
0.01,47,2.9019457245924474e-05,0.00031627732424227627
0.01,48,2.892894178659697e-05,0.0003152916036151988
0.01,49,2.883432392352417e-05,0.00031426111799084337
0.01,50,2.8735541112715066e-05,0.00031318518798522196
0.01,51,2.8632534813648303e-05,0.0003120631776351698
0.01,52,2.8525236714239056e-05,0.0003108943442964886
0.01,53,2.8413539389441427e-05,0.00030967751887799174
0.01,54,2.8297335465369364e-05,0.0003084115327107783
0.01,55,2.8176528087756974e-05,0.000307095331666757
0.01,56,2.805102979845444e-05,0.00030572796393263537
0.01,57,2.7920762233399188e-05,0.0003043085767349257
0.01,58,2.778565609590222e-05,0.0003028364160635497
0.01,59,2.7645651238971736e-05,0.000301310827581937
0.01,60,2.7500696791637712e-05,0.00029973125801495784
0.01,61,2.7350751298094037e-05,0.0002980972566749823
0.01,62,2.7195782852676015e-05,0.00029640847694113227
0.01,63,2.7035769220611915e-05,0.0002946646775822044
0.01,64,2.687069793822559e-05,0.00029286572385447577
0.01,65,2.6700566388460795e-05,0.00029101158832949914
0.01,66,2.6525381848964152e-05,0.00028910235142187517
0.01,67,2.6345161510888098e-05,0.00028713820159705333
0.01,68,2.615993246719416e-05,0.0002851194352459529
0.01,69,2.5969731669725283e-05,0.0002830464562185094
0.01,70,2.5774605854660773e-05,0.00028091977501200506
0.01,71,2.5574611436287136e-05,0.00027874000761352063
0.01,72,2.536981436925075e-05,0.0002765078739983768
0.01,73,2.5160289979705527e-05,0.00027422419628912416
0.01,74,2.4946122414291795e-05,0.00027188989274886077
0.01,75,2.4727387983819584e-05,0.0002695057962412144
0.01,76,2.4504146638255982e-05,0.00026707256131327026
0.01,77,2.427646945707404e-05,0.0002645909638151647
0.01,78,2.4044440341110453e-05,0.0002620619193383257
0.01,79,2.3808154808844105e-05,0.0002594864700936524
0.01,80,2.356771922721711e-05,0.00025686577652578026
0.01,81,2.332325018483617e-05,0.00025420111047908054
0.01,82,2.3074873920882675e-05,0.0002514938489707529
0.01,83,2.2822725774528068e-05,0.00024874546818734
0.01,84,2.256694963857374e-05,0.00024595753752724487
0.01,85,2.2307697409434136e-05,0.00024313171360338038
0.01,86,2.2045128429764182e-05,0.00024026973416566323
0.01,87,2.177940828204548e-05,0.00023737340494966213
0.01,88,2.151069451000199e-05,0.00023444444405206627
0.01,89,2.123913633028109e-05,0.00023148447878630748
0.01,90,2.0964891509580458e-05,0.00022849522962485792
0.01,91,2.0688126037736772e-05,0.00022547850663397274
0.01,92,2.0409012944605275e-05,0.00022243619657656913
0.01,93,2.0127731376556173e-05,0.0002193702528448725
0.01,94,1.9844465775758053e-05,0.00021628268651352527
0.01,95,1.955940511300565e-05,0.00021317555797646198
0.01,96,1.9272742153653854e-05,0.0002100509689448015
0.01,97,1.8984672747488732e-05,0.00020691105470582746
0.01,98,1.869539513849759e-05,0.00020375797659905463
0.01,99,1.8405109293158177e-05,0.00020059391469434535
0.01,100,1.8114016247199803e-05,0.0001974210606715647
0.01,101,1.7822317471601342e-05,0.00019424161091011354
0.01,102,1.7530214258965116e-05,0.00019105775980075132
0.01,103,1.72379071316286e-05,0.00018787169329454985
0.01,104,1.6945595272920323e-05,0.00018468558270430101
0.01,105,1.6653475982981648e-05,0.0001815015787738671
0.01,106,1.6361744160467278e-05,0.00017832180602977355
0.01,107,1.607059181135909e-05,0.00017514835742849102
0.01,108,1.578020758595329e-05,0.00017198328931094836
0.01,109,1.5490776344956785e-05,0.0001688286166744653
0.01,110,1.5202478755428201e-05,0.00016568630877010737
0.01,111,1.4915490917138992e-05,0.00016255828503172114
0.01,112,1.4629984019750865e-05,0.00015944641134095516
0.01,113,1.4346124031010764e-05,0.00015635249663044487
0.01,114,1.4064071416007713e-05,0.0001532782898256307
0.01,115,1.3783980887354456e-05,0.0001502254771237005
0.01,116,1.3506001185990004e-05,0.0001471956796063311
0.01,117,1.3230274892159939e-05,0.00014419045118138393
0.01,118,1.2956938265963509e-05,0.00014121127684688347
0.01,119,1.2686121116755077e-05,0.00013825957126950016
0.01,120,1.2417946700530262e-05,0.00013533667766804717
0.01,121,1.2152531644349465e-05,0.00013244386699165476
0.01,122,1.1889985307442613e-05,0.00012958233095864736
0.01,123,1.1630406790153761e-05,0.00012675314946060073
0.01,124,1.1373887607263986e-05,0.0001239573196994139
0.01,125,1.1120513645238676e-05,0.00012119577752008188
0.01,126,1.0870365016069014e-05,0.00011846939581945339
0.01,127,1.0623515975680662e-05,0.00011577898365863737
0.01,128,1.0380034902265237e-05,0.00011312528602843599
0.01,129,1.0139984312081055e-05,0.0001105089840230874
0.01,130,9.903420903404728e-06,0.0001079306953207555
0.01,131,9.67039562342055e-06,0.00010539097491394786
0.01,132,9.440953754591281e-06,0.00010289031605218781
0.01,133,9.215135017904879e-06,0.00010042915136854286
0.01,134,8.992973690853493e-06,9.800785416664358e-05
0.01,135,8.774498738313812e-06,9.562673984823741e-05
0.01,136,8.559733954673443e-06,9.328606746323606e-05
0.01,137,8.348698115694568e-06,9.098604136581222e-05
0.01,138,8.141405138713185e-06,8.872681296127008e-05
0.01,139,7.937864249881495e-06,8.6508482529604e-05
0.01,140,7.738080157223081e-06,8.433110111233746e-05
0.01,141,7.542053228367689e-06,8.219467245029371e-05
0.01,142,7.349779671894014e-06,8.009915496062083e-05
0.01,143,7.161251721285426e-06,7.804446374222837e-05
0.01,144,6.976457820574429e-06,7.603047259956569e-05
0.01,145,6.7953828108056015e-06,7.405701607525957e-05
0.01,146,6.6180081165311026e-06,7.212389148304875e-05
0.01,147,6.444311931603565e-06,7.02308609330055e-05
0.01,148,6.274269403594242e-06,6.837765334172203e-05
0.01,149,6.107852816231347e-06,6.656396642087019e-05
0.01,150,5.945031769299441e-06,6.478946863804381e-05
